codename,name,rep,mkt,year_loc,loc,year,gy_kg_ha
213SP,N1,1,NB,17_BA,BA,17,NA
213SP,N1,1,NB,17_HU,HU,17,NA
213SP,N1,1,NB,17_SA,SA,17,NA
213SP,N1,1,NB,17_TU,TU,17,NA
213SP,N1,1,NB,18_BA,BA,18,NA
213SP,N1,1,NB,18_HU,HU,18,NA
213SP,N1,1,NB,18_SA,SA,18,NA
213SP,N1,1,NB,18_TU,TU,18,NA
213SP,N1,1,NB,19_BA,BA,19,NA
213SP,N1,1,NB,19_HU,HU,19,NA
213SP,N1,1,NB,19_SA,SA,19,NA
213SP,N1,1,NB,19_TU,TU,19,NA
213SP,N1,1,NB,20_BA,BA,20,NA
213SP,N1,1,NB,20_HU,HU,20,NA
213SP,N1,1,NB,20_SA,SA,20,NA
213SP,N1,1,NB,20_TU,TU,20,NA
213SP,N1,1,NB,21_BA,BA,21,NA
213SP,N1,1,NB,21_HU,HU,21,NA
213SP,N1,1,NB,21_SA,SA,21,NA
213SP,N1,1,NB,21_TU,TU,21,NA
213SP,N1,1,NB,22_BA,BA,22,2968.754906
213SP,N1,1,NB,22_HU,HU,22,2042.109139
213SP,N1,1,NB,22_SA,SA,22,3365.933838
213SP,N1,1,NB,22_TU,TU,22,3759.960557
213SP,N1,2,NB,17_BA,BA,17,NA
213SP,N1,2,NB,17_HU,HU,17,NA
213SP,N1,2,NB,17_SA,SA,17,NA
213SP,N1,2,NB,17_TU,TU,17,NA
213SP,N1,2,NB,18_BA,BA,18,NA
213SP,N1,2,NB,18_HU,HU,18,NA
213SP,N1,2,NB,18_SA,SA,18,NA
213SP,N1,2,NB,18_TU,TU,18,NA
213SP,N1,2,NB,19_BA,BA,19,NA
213SP,N1,2,NB,19_HU,HU,19,NA
213SP,N1,2,NB,19_SA,SA,19,NA
213SP,N1,2,NB,19_TU,TU,19,NA
213SP,N1,2,NB,20_BA,BA,20,NA
213SP,N1,2,NB,20_HU,HU,20,NA
213SP,N1,2,NB,20_SA,SA,20,NA
213SP,N1,2,NB,20_TU,TU,20,NA
213SP,N1,2,NB,21_BA,BA,21,NA
213SP,N1,2,NB,21_HU,HU,21,NA
213SP,N1,2,NB,21_SA,SA,21,NA
213SP,N1,2,NB,21_TU,TU,21,NA
213SP,N1,2,NB,22_BA,BA,22,3463.232169
213SP,N1,2,NB,22_HU,HU,22,2654.163975
213SP,N1,2,NB,22_SA,SA,22,3308.458475
213SP,N1,2,NB,22_TU,TU,22,2402.932539
213SP,N1,3,NB,17_BA,BA,17,NA
213SP,N1,3,NB,17_HU,HU,17,NA
213SP,N1,3,NB,17_SA,SA,17,NA
213SP,N1,3,NB,17_TU,TU,17,NA
213SP,N1,3,NB,18_BA,BA,18,NA
213SP,N1,3,NB,18_HU,HU,18,NA
213SP,N1,3,NB,18_SA,SA,18,NA
213SP,N1,3,NB,18_TU,TU,18,NA
213SP,N1,3,NB,19_BA,BA,19,NA
213SP,N1,3,NB,19_HU,HU,19,NA
213SP,N1,3,NB,19_SA,SA,19,NA
213SP,N1,3,NB,19_TU,TU,19,NA
213SP,N1,3,NB,20_BA,BA,20,NA
213SP,N1,3,NB,20_HU,HU,20,NA
213SP,N1,3,NB,20_SA,SA,20,NA
213SP,N1,3,NB,20_TU,TU,20,NA
213SP,N1,3,NB,21_BA,BA,21,NA
213SP,N1,3,NB,21_HU,HU,21,NA
213SP,N1,3,NB,21_SA,SA,21,NA
213SP,N1,3,NB,21_TU,TU,21,NA
213SP,N1,3,NB,22_BA,BA,22,2436.030783
213SP,N1,3,NB,22_HU,HU,22,2641.55512
213SP,N1,3,NB,22_SA,SA,22,1327.081987
