ComName,Code,MktCl,Source,Pedigree,RelYear,RangeYield,RangeMat,References
213SP,N1,NB,Gentec,NA,NA,1327.08-3808.82,104,NA
ACE,B1,BB,ADM,NA,2019,1602.9-4260.38,85 - 90,NA
ADAMS,B2,BB,MSU,ZENITH//ALPENA*/B09197,2020,1483.23-5718.08,87 - 102,https://acsess.onlinelibrary.wiley.com/doi/10.1002/plr2.20063
ALPENA,N2,NB,MSU,MEDALIST/N08003,2014,1598.2-3581.55,NA,https://acsess.onlinelibrary.wiley.com/doi/full/10.3198/jpr2014.04.0025crc
APEX,N3,NB,AAFC-HARROW,Centralia/NY5268//HR67/3/AC Cruiser,2011,1383.51-4483.24,87 - 104,https://cdnsciencepub.com/doi/10.4141/cjps2012-139
ARGOSY,N4,NB,ACUG,OAC REX/SWX2045,2016,1171.66-4475.56,87 - 102,https://www.gobeans.ca/downloads/Argosy_AAC-White.pdf
ARMADA,N5,NB,ProVita Seeds,NA,2019,1286.15-4927.81,86 - 100,https://www.gobeans.ca/downloads/Armada-White.pdf
PVT13505,B3,BB,ProVita Seeds,NA,NA,1355.15-4726.52,NA,NA
BL13SR1-1,B4,BB,Gentec,NA,NA,1695.75-4286.68,98 - 103,NA
BL1402-15,B5,BB,USDA-ARS,NA,NA,1708.5-5097.63,95 - 101,NA
BL15430,B6,BB,MSU,ZENITH/B12721,NA,1912.4-4159.36,NA,NA
BL15442,B7,BB,MSU,B11363/B09175,NA,2185.21-4289.16,NA,NA
BL15447,B8,BB,MSU,B11363/ZENITH,NA,1593.92-4817.12,NA,NA
BL16501,B9,BB,MSU,ZENITH/B10215,NA,2184.43-4459.89,NA,NA
BL16504,B10,BB,MSU,ZENITH//ALPENA*/B09197,NA,1704.39-5206.16,NA,NA
BL16506,B11,BB,MSU,B11363//ALPENA*/B09197,NA,1385.56-4254.7,NA,NA
BL16507,B12,BB,MSU,B12720/ZENITH,NA,1937.44-4114.39,NA,NA
BL17220,B13,BB,MSU,ZENITH/B12724,NA,1716.08-5010.39,96 - 102,NA
BL1726-2,B14,BB,USDA-ARS,NA,NA,1327.08-4677.09,85 - 92,NA
BL17536,B15,BB,MSU,B14311/ZENITH,NA,2024.01-4909.58,NA,NA
BL17691,B16,BB,MSU,B14311/B12724,NA,2195.96-4982.54,NA,NA
BL17922,B17,BB,MSU,B14302/ZENITH,NA,1595.69-5468.59,99 - 101,NA
BL18094173,B18,BB,ADM,NA,NA,2333.06-4501.36,101,NA
BL18201,B19,BB,MSU,ZENITH/B13218,NA,1891.45-5501.6,95 - 101,NA
BL18204,B20,BB,MSU,ZENITH/B15430,NA,1424.79-5611.63,90 - 98,NA
BL19309,B21,BB,MSU,B15414/B16504,NA,1507.6-4657.46,87 - 95,NA
BL19330,B22,BB,MSU,B16501/B15414,NA,1952.66-4736.5,84 - 98,NA
BL19344,B23,BB,MSU,B16506/B16507,NA,1893.22-5406.24,86 - 104,NA
BL20536,B24,BB,MSU,B15430/B16504,NA,2486.05-3905.59,103,NA
BL20547,B25,BB,MSU,B16501/B16504,NA,1355.45-4561.57,87 - 93,NA
BL20591,B26,BB,MSU,B16505/B16504,NA,1586.82-4802.97,86 - 93,NA
BL20597,B27,BB,MSU,B16506/B15430,NA,2380.71-4160.69,84 - 92,NA
BL20599,B28,BB,MSU,B16506/B15430,NA,2616.34-4423.61,102,NA
BL21708,B29,BB,MSU,B15430/B16504,NA,1771.54-4972.09,100,NA
BL21710,B30,BB,MSU,B16501/B15430,NA,2590.07-4589.62,101,NA
BL21714,B31,BB,MSU,B16501/B16504,NA,2217.06-3910.32,100,NA
BL3033350,B32,BB,ADM,NA,NA,1708.92-3438.01,97,NA
BL3035411,B33,BB,ADM,NA,NA,2912.65-3975.99,98,NA
BL3036368,B34,BB,ADM,NA,NA,1174.63-5310.16,93 - 100,NA
BL3036381,B35,BB,ADM,NA,NA,2068.64-5125.49,87 - 105,NA
BL5058320,B36,BB,ADM,NA,NA,1700.93-3758.7,98,NA
BL7071259,B37,BB,ADM,NA,NA,2402.93-4766.15,96,NA
BL7072269,B38,BB,ADM,NA,NA,2030.03-4444.62,98,NA
