Comp,trait,mkt,Freq,value
G,GY,BB,0.122215815,48616.4
GE,GY,BB,0.414626862,164935
E,GY,BB,0.463157323,184240
G,GY,NB,0.122771041,34502.1
GE,GY,NB,0.258909788,72760.9
E,GY,NB,0.618319171,173765
G,GY,SR,0.111830644,31775
GE,GY,SR,0.366266036,104069
E,GY,SR,0.521903321,148291
G,GY2,BB,0.320027629,68572
GE,GY2,BB,0.07987623,17115
E,GY2,BB,0.600096141,128582
G,GY2,NB,0.257172866,50195
GE,GY2,NB,0.116707654,22779
E,GY2,NB,0.626119479,122206
G,GY2,SR,4.14E-09,0.001
GE,GY2,SR,0.31413894,75950
E,GY2,SR,0.685861056,165822
G,DM,BB,0.395027624,2.86
GE,DM,BB,0.110497238,0.8
E,DM,BB,0.494475138,3.58
G,DM,NB,0.319805195,1.97
GE,DM,NB,0.102272727,0.63
E,DM,NB,0.577922078,3.56
G,DM,SR,0.120792079,0.61
GE,DM,SR,0.124752475,0.63
E,DM,SR,0.754455446,3.81
G,PH,BB,0.105351171,0.63
GE,PH,BB,0.030100334,0.18
E,PH,BB,0.864548495,5.17
G,PH,NB,0.191011236,1.36
GE,PH,NB,0.113764045,0.81
E,PH,NB,0.695224719,4.95
G,PH,SR,0.235875706,1.67
GE,PH,SR,0.040960452,0.29
E,PH,SR,0.723163842,5.12
G,LD,BB,0.178470255,0.063
GE,LD,BB,0.056657224,0.02
E,LD,BB,0.764872521,0.27
G,LD,NB,0.386138614,0.195
GE,LD,NB,0.079207921,0.04
E,LD,NB,0.534653465,0.27
G,LD,SR,0.339622642,0.18
GE,LD,SR,0.056603774,0.03
E,LD,SR,0.603773585,0.32
