,loc,name,rep,yield,mkt
1,BA,B13,1,2625.99433215152,BB
2,BA,B13,2,2874.40883165149,BB
3,BA,B13,3,2390.61934115149,BB
4,BA,B13,4,2999.62907137052,BB
5,BA,B14,1,2850.55089666849,BB
6,BA,B14,2,3235.36264366849,BB
7,BA,B14,3,3466.99781716849,BB
8,BA,B14,4,3445.37363066849,BB
9,BA,B19,1,2385.27217456084,BB
10,BA,B19,2,3178.37884156084,BB
11,BA,B19,3,2742.26805656084,BB
12,BA,B19,4,2540.41794615172,BB
13,BA,B20,1,2695.06732056084,BB
14,BA,B20,2,2895.81012806084,BB
15,BA,B20,3,2263.12627956084,BB
16,BA,B20,4,1894.07557294348,BB
17,BA,B21,1,4324.52604466849,BB
18,BA,B21,2,3320.19922266849,BB
19,BA,B21,3,2919.13256066849,BB
20,BA,B21,4,3067.63335016849,BB
21,BA,B22,1,3081.87537959652,BB
22,BA,B22,2,3221.67369259652,BB
23,BA,B22,3,2862.20265559652,BB
24,BA,B22,4,2739.68099709652,BB
25,BA,B25,1,3434.07819816849,BB
26,BA,B25,2,4049.91569066849,BB
27,BA,B25,3,3886.95674716849,BB
28,BA,B25,4,3467.50416861445,BB
29,BA,B26,1,3880.82043766848,BB
30,BA,B26,2,4191.83886066848,BB
31,BA,B26,3,3828.73535916848,BB
32,BA,B26,4,2059.40829066848,BB
33,BA,B4,1,2414.13574006084,BB
34,BA,B4,2,2848.24216206084,BB
35,BA,B4,3,2114.19336106084,BB
36,BA,B4,4,2071.82834246465,BB
37,BA,B51,1,3405.27791027071,BB
38,BA,B51,2,3931.65815477071,BB
39,BA,B51,3,2878.89766577071,BB
40,BA,B51,4,2625.99433215152,BB
41,BA,B52,1,3383.42036027071,BB
42,BA,B52,2,3916.40046377071,BB
43,BA,B52,3,2850.44025677071,BB
44,BA,B52,4,2625.99433215152,BB
45,BA,B53,1,3367.7277602707,BB
46,BA,B53,2,3890.5188827707,BB
47,BA,B53,3,2844.9366377707,BB
48,BA,B53,4,2625.99433215152,BB
49,BA,N12,1,2504.54083389341,NB
50,BA,N12,2,2641.73482539344,NB
51,BA,N12,3,2862.08010039344,NB
52,BA,N12,4,1323.14370097973,NB
53,BA,N13,1,2450.8000578935,NB
54,BA,N13,2,2672.7112813935,NB
55,BA,N13,3,2619.4072413935,NB
56,BA,N13,4,2518.01307889487,NB
57,BA,N14,1,2186.17029650461,NB
58,BA,N14,2,2608.98381650461,NB
59,BA,N14,3,1727.98934250461,NB
60,BA,N14,4,3115.58362250461,NB
61,BA,N18,1,2530.13070792059,NB
62,BA,N18,2,2070.75224292059,NB
63,BA,N18,3,2684.91245642059,NB
64,BA,N18,4,1639.41084292059,NB
65,BA,N26,1,2351.93448235376,NB
66,BA,N26,2,2952.24368635376,NB
67,BA,N26,3,1751.62527835376,NB
68,BA,N26,4,2504.54083389341,NB
69,BA,N31,1,2429.38900837915,NB
70,BA,N31,2,2917.72030237915,NB
71,BA,N31,3,1941.05771437915,NB
72,BA,N31,4,2504.54083389341,NB
73,BA,N36,1,3402.80562125254,NB
74,BA,N36,2,3484.46897225254,NB
75,BA,N36,3,3108.98777825254,NB
76,BA,N36,4,2908.87474225254,NB
77,BA,N37,1,3609.38317183655,NB
78,BA,N37,2,3812.13774733655,NB
79,BA,N37,3,2886.74997783655,NB
80,BA,N37,4,3066.25318633655,NB
81,BA,N38,1,2303.74402433656,NB
