,name_orig,name,loc,mkt,rep,yield,maturity,height,logding
1,ACE,B1,BA,BB,1,2481.699682,89,16,1
2,ACE,B1,BA,BB,2,3278.970801,90,18,1
3,ACE,B1,BA,BB,3,2479.243499,90,14,1
4,ACE,B1,BA,BB,4,1911.384322,89,15,1
5,ADAMS,B2,BA,BB,1,3159.810325,90,20,2
6,ADAMS,B2,BA,BB,2,3424.26181,89,19,1
7,ADAMS,B2,BA,BB,3,2655.034832,91,15,2
8,ADAMS,B2,BA,BB,4,2923.23883,92,18,2
9,BL13SR1-1,B4,BA,BB,1,2565.542917,NA,NA,NA
10,BL13SR1-1,B4,BA,BB,2,2999.649339,NA,NA,NA
11,BL13SR1-1,B4,BA,BB,3,2265.600538,NA,NA,NA
12,BL13SR1-1,B4,BA,BB,4,2079.484148,NA,NA,NA
13,BL1402-15,B5,BA,BB,1,2111.195507,NA,NA,NA
14,BL1402-15,B5,BA,BB,2,3455.503381,NA,NA,NA
15,BL1402-15,B5,BA,BB,3,3203.703915,NA,NA,NA
16,BL1402-15,B5,BA,BB,4,846.970461,NA,NA,NA
17,BL17220,B13,BA,BB,1,2524.785904,NA,NA,NA
18,BL17220,B13,BA,BB,2,2773.200404,NA,NA,NA
19,BL17220,B13,BA,BB,3,2289.410913,NA,NA,NA
20,BL17220,B13,BA,BB,4,2895.898733,NA,NA,NA
21,BL1726-2,B14,BA,BB,1,2667.776264,88,19,1
22,BL1726-2,B14,BA,BB,2,3570.633325,92,15,1
23,BL1726-2,B14,BA,BB,3,3352.184913,87,15,1
24,BL1726-2,B14,BA,BB,4,2883.387684,90,14,1
25,BL17922,B17,BA,BB,1,2689.614704,NA,NA,NA
26,BL17922,B17,BA,BB,2,3171.552281,NA,NA,NA
27,BL17922,B17,BA,BB,3,2549.58218,NA,NA,NA
28,BL17922,B17,BA,BB,4,1456.853229,NA,NA,NA
29,BL18201,B19,BA,BB,1,2536.679351,NA,NA,NA
30,BL18201,B19,BA,BB,2,3329.786018,NA,NA,NA
31,BL18201,B19,BA,BB,3,2893.675233,NA,NA,NA
32,BL18201,B19,BA,BB,4,2554.961506,NA,NA,NA
33,BL18204,B20,BA,BB,1,2846.474497,NA,NA,NA
34,BL18204,B20,BA,BB,2,3047.217305,NA,NA,NA
35,BL18204,B20,BA,BB,3,2414.533456,NA,NA,NA
36,BL18204,B20,BA,BB,4,1957.458214,NA,NA,NA
